web-scraper-order,web-scraper-start-url,Type_habit,Prix,Adresse,Image_lien-src
"1739917822-1066","https://sn.coinafrique.com/categorie/vetements-enfants","Robes enfants","6 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2419208_uploaded_image1_1594309374.jpg"
"1739917822-1067","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements enfants","4 500CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2415238_uploaded_image1_1594237696.jpg"
"1739917822-1068","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements enfants","4 500CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2415237_uploaded_image1_1594237651.jpg"
"1739917822-1069","https://sn.coinafrique.com/categorie/vetements-enfants","Ensemble Vêtements enfants","4 500CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2415228_uploaded_image1_1594237577.jpg"
"1739917822-1070","https://sn.coinafrique.com/categorie/vetements-enfants","Pantalons  bébé","1 000CFA","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_2415021_uploaded_image1_1594235048.jpg"
"1739917822-1071","https://sn.coinafrique.com/categorie/vetements-enfants","Sous vêtements bébé 0 à 3 mois","1 000CFA","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_2415013_uploaded_image1_1594234978.jpg"
"1739917822-1072","https://sn.coinafrique.com/categorie/vetements-enfants","Ensemble Pantalon Body pour enfant","2 500CFA","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_2414999_uploaded_image1_1594234822.jpg"
"1739917822-1073","https://sn.coinafrique.com/categorie/vetements-enfants","Grenouillères bébé","2 000CFA","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_2414977_uploaded_image1_1594234621.jpg"
"1739917822-1074","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements enfant","10 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2411915_uploaded_image1_1594201292.jpg"
"1739917822-1075","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements  enfant","4 500CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2410573_uploaded_image1_1594169822.jpg"
"1739917822-1076","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements  enfant","4 500CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2410569_uploaded_image1_1594169738.jpg"
"1739917822-1077","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements  enfant","4 500CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2410559_uploaded_image1_1594169589.jpg"
"1739917822-1078","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements  enfant","4 500CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2410557_uploaded_image2_1594169560.jpeg"
"1739917822-1079","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements  enfant","4 500CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2410556_uploaded_image1_1594169528.jpg"
"1739917822-1080","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements  enfant","4 500CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2410554_uploaded_image1_1594169491.jpg"
